s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2015,72793,12,2015,4,277.51971436,2,2,0,,,,,,2,1,1,1,8300,44,0,,3,5,5,0,1,1,1,1,0,1,1,0,1,2,1,1,1,2,2,2,1,1,2,2,0,0,2,1,1,1,1,1,0,2793587,2,6,6,0,0,0,0,9,20793,14907,16095,5886,7045,0,0,11796,4299,0,0,4299,0,0,0,0,0,0,0,11796,0,0,4299,0,0,0,0,0,0,0,1188,796,0,392,12931,1499,384,5886,1652,16,1430,467,225,1299,74,2,3953,0,3953.3,0,0,,2793587,1
2015,72801,1,2016,4,210.79289246,2,2,1,,,,,,2,1,1,1,8300,44,0,,3,5,5,0,1,1,1,1,1,1,1,1,1,2,1,1,3,2,2,1,1,1,2,1,1,0,2,1,1,2,1,1,1,2300000,2,5,5,0,0,0,0,10,26302,20004,24417,6298,22688,19805,2803,0,1809,19805,0,1809,0,0,0,19805,0,0,0,0,0,0,1809,0,0,0,0,0,0,0,4413,3198,1019,196,28986,1727,683,6036,2065,3031,753,817,300,13073,502,1,2056,0,1833,0,223,,3800000,1
2015,72819,1,2016,4,490.9624939,5,3.75,2,2,,,,2,3,1,2,1,8300,44,0,,3,5,5,0,2,1,0,3,1,1,2,0,1,4,0,2,8,2,2,1,1,1,2,1,1,1,2,1,1,2,2,1,0,3000000,4,9,9,0,0,0,0,9,47291,40313,46982,6978,20654,27625,0,9810,9548,27625,0,9548,0,0,0,19949,7676,0,0,9810,0,338,2202,1101,0,0,0,0,5906,0,6669,4104,1199,1366,27467,5004,659,6010,1665,468,50,1067,8014,2373,2157,3,6674,3190.084017,3214.9,120.4159051,149,,3000000,1
2015,72827,12,2015,4,285.61499023,1,1.25,0,,,,,,1,,1,1,8300,44,0,,3,5,5,0,1,0,1,1,0,0,1,0,0,2,1,0,1,2,2,2,2,1,2,2,1,0,2,2,1,1,,,1,,,2,2,1,0,3,1,7,10140,10140,10886,0,8813,0,0,8457,2429,0,0,2429,0,0,0,0,0,0,0,8457,0,0,1499,930,0,0,0,0,0,0,746,550,0,196,8813,2638,244,4682,423,46,0,520,79,162,19,1,6247,0,1784.9,4435.9255211,26,,1500000,1
2015,72835,12,2015,4,371.10360718,1,1.25,0,,,,,,1,,1,1,8300,44,0,,3,5,5,0,1,0,1,1,0,0,1,1,0,1,0,1,1,2,2,2,2,1,2,2,0,0,2,1,1,1,1,,2,,,2,2,1,0,3,1,9,12835,12835,13096,0,11697,0,10696,0,2399,0,0,2399,0,0,0,0,0,0,0,0,0,0,1300,1100,0,0,0,0,0,0,261,65,0,196,11697,1092,220,5918,494,0,0,360,262,3058,294,1,5845,0,1380.6,4435.9255211,28,,3000000,1
2015,72843,1,2016,4,232.75880432,2,2,1,,,,,,2,1,1,1,8300,44,0,,3,5,5,0,1,1,1,1,1,1,1,1,1,3,1,1,5,2,2,1,1,1,2,2,1,0,2,1,1,2,2,1,0,3000000,2,5,5,0,0,0,0,10,35567,25885,40500,9682,21029,40500,0,0,0,40500,0,0,0,0,0,40500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14615,10227,2468,1920,30623,2828,851,6120,4014,21,1365,5893,1432,6089,2010,2,1833,0,1833,0,0,,3000000,1
2015,72850,1,2016,4,313.43649292,5,3.75,2,,,1,,1,4,2,2,3,7900,42,13,,3,5,5,1,0,0,1,1,0,0,1,0,1,3,0,2,4,2,2,1,2,1,2,1,0,2,2,1,,2,,,1,,,7.5,6.5,1,0,2,2,4,19419,19419,20956,0,18510,13932,1301,1001,4722,5923,1001,2022,2700,0,0,0,0,5923,8008,0,0,150,1872,0,0,0,0,0,0,0,1537,127,719,691,18510,1342,395,7014,1533,618,2227,1955,2377,833,217,1,11255,4444.148941,2410.2,4315.509616,85,266600,1233400,2
2015,72868,1,2016,4,194.83000183,3,2.65,3,,,,,,3,2,1,1,7900,42,13,,3,5,5,0,1,1,1,1,0,1,1,1,1,3,0,2,1,2,2,1,2,1,2,1,1,0,2,1,1,2,2,1,1,1500000,3,5,5,0,0,0,0,9,29804,24778,27448,5026,20754,22443,5005,0,0,13334,0,0,0,0,0,5920,0,7414,9109,0,0,0,0,0,0,0,0,0,0,0,2670,879,982,809,25780,4945,738,5226,2708,242,0,445,2627,8819,30,1,2049,0,2048.8,0,0,,3000000,1
2015,72876,1,2016,4,142.43870544,1,1.25,1,,,,,,1,1,,3,7900,42,13,,3,5,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,2,2,2,1,2,2,0,0,2,1,1,1,,,0,,,2,2,1,0,2,2,4,5703,5703,5825,0,2760,1687,0,0,4138,1687,0,2803,1335,0,0,1687,0,0,0,0,0,0,2803,0,0,0,0,0,0,0,122,0,19,103,2760,244,58,1915,151,0,0,0,144,72,175,1,2382,0,2168.4,0,214,,0,2
2015,72884,1,2016,4,209.09460449,7,4.75,2,3,2,,,5,2,1,1,1,0000,42,6,,1,4,3,1,0,0,1,1,0,0,1,0,1,0,0,1,3,2,2,1,1,2,2,1,1,0,2,1,1,2,,1,0,1500000,2,4,4,0,0,0,0,3,19208,15553,18164,3655,11714,17299,0,0,865,17299,0,865,0,0,0,1356,15943,0,0,0,0,865,0,0,0,0,0,0,0,0,2611,1019,768,824,15369,1416,383,3693,1032,105,704,2280,2356,1970,1429,4,8760,6380.168034,2380.3,0,0,148107,1351893,1
2015,72892,1,2016,4,263.4750061,2,2,2,,,,,,2,1,1,1,8300,44,0,,3,5,5,0,1,1,1,2,0,1,1,0,1,2,0,2,3,2,2,1,2,1,2,1,1,0,2,1,1,2,1,1,1,1582666,1,4,4,0,0,0,0,9,24210,20137,23075,4073,13695,15467,0,5506,2102,13397,0,2102,0,0,0,13397,0,0,2070,5506,0,0,2102,0,0,0,0,0,0,0,2938,1451,727,760,17768,2134,474,4285,1202,4591,399,1088,1108,1362,1126,1,4480,0,3029,1369.68746,81,,3082666,1
