s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_3,nefashot4_5,nefashot6_11,nefashot12_15,nefashotad18,yeladim0_1,yeladim2_4,yeladim5_9,yeladim10_14,yeladim15_17,nefashot18up,men18up,women18up,religion,nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,cable_tv,digital__receiver,satellite_dish,internet,phones,cell_phones,cars,value_car,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39
2012,9290,3,2012,1,189.85482788,5,3.75,1,1,,2,,3,0,1,1,1,0,2,1,1,1,0,2610,11,5,2,2,3,3,1,0,0,1,1,0,0,1,1,0,0,0,2,1,2,2,2,2,2,1,1,2,,0,1,2,1400000,3,4,4,0,0,0,0,2,10887,7744,8070,3143,11039,5261,0,0,2808,3744,0,2808,0,0,0,3744,0,0,1518,0,0,684,0,0,0,2125,0,0,0,326,0,161,165,14182,1770,543,3143,1027,84,268,2134,2645,872,1695
2012,9308,3,2012,1,210.52661133,5,3.75,2,,,1,,2,0,0,0,1,1,3,1,2,1,0,2610,11,5,2,2,3,3,0,2,2,2,3,1,2,1,1,1,0,1,5,1,1,2,2,2,2,1,2,2,2,0,1,1,1956669,4,12,9,0,0,0,0,9,35973,31438,42650,4535,27774,41483,0,0,1167,41483,0,1167,0,0,0,30353,11130,0,0,0,0,1167,0,0,0,0,0,0,0,11212,6992,2242,1978,32308,3615,775,12564,4306,1581,847,729,5348,2300,243
2012,9316,4,2012,2,353.32165527,1,1.25,0,,,,,,0,0,0,0,0,1,1,,1,0,9000,62,4,3,3,3,2,1,0,0,1,1,0,0,1,0,0,0,0,2,1,2,2,2,2,2,1,,1,,0,2,2,,,4,2,1,0,2,2,1,687,687,808,0,3257,0,0,0,808,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,20,101,3257,871,109,799,241,87,351,1,335,366,96
2012,9324,4,2012,2,152.92655945,1,1.25,0,,,,,,0,0,0,0,0,1,,1,1,0,9000,62,4,3,3,3,2,1,0,0,1,1,0,0,1,0,0,0,0,1,1,2,2,2,2,2,1,,1,,0,2,2,,,4,2,1,1,2,2,1,889,889,1010,0,1937,0,0,0,1010,0,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,20,101,1937,506,,,223,124,151,1,530,402,
2012,9332,4,2012,2,533.82904053,1,1.25,0,,,,,,0,0,0,0,0,1,,1,1,0,9000,62,4,3,3,3,2,1,0,0,1,1,0,0,1,0,0,1,1,2,1,2,2,2,2,2,1,,1,1,0,2,2,,,4,2,1,1,2,2,1,2375,485,606,1890,7430,0,0,0,606,0,0,0,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,20,101,9319,365,44,809,213,100,592,542,3046,3444,164
2012,9340,4,2012,2,533.82904053,1,1.25,1,,,,,,0,0,0,0,0,1,,1,1,0,9000,62,4,3,3,3,2,1,0,0,1,1,0,0,1,0,0,0,0,2,1,2,2,2,2,2,1,,1,,0,2,2,,,4,2,1,1,2,2,1,1493,1493,1637,0,2809,1637,0,0,0,1637,0,0,0,0,0,1637,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,16,128,2809,476,143,,233,195,300,261,400,525,275
2012,9357,4,2012,2,209.47622681,4,3.2,2,,1,1,,2,0,1,1,0,0,2,1,1,1,0,9000,62,4,3,3,3,2,0,1,1,1,1,0,1,1,0,1,2,1,1,1,2,2,1,2,2,1,1,2,1,43000,1,2,850000,2,4,4,0,0,0,0,5,15950,13099,15587,2851,11267,15157,0,0,429,0,0,429,0,0,0,0,0,0,15157,0,0,429,0,0,0,0,0,0,0,2488,686,1239,563,14751,1774,391,2737,1228,968,402,1050,2812,3027,362
2012,9365,3,2012,1,197.94880676,5,3.75,2,1,,,1,2,0,1,0,1,0,3,2,1,5,0,9000,62,4,3,3,3,2,1,1,1,0,1,1,1,1,1,0,1,4,2,2,2,2,1,2,1,1,1,2,1,19600,1,2,1000000,3,5,5,0,0,0,0,6,21706,17855,20779,3851,14451,20350,0,0,429,20350,0,429,0,0,0,6981,12985,0,0,0,0,429,0,0,0,0,0,0,0,2924,1407,715,802,18394,2534,44,5410,1603,,,1142,3792,3649,219
2012,9373,4,2012,2,334.65585327,2,2,0,,,,,,0,0,0,0,0,2,1,1,1,0,9000,62,4,3,3,3,2,0,1,0,1,1,0,0,1,0,0,1,0,1,1,2,2,1,2,2,1,1,1,1,14000,1,2,225078,1,4,4,0,0,0,0,4,9587,6803,7251,2784,4537,0,0,2401,4850,0,0,4850,0,0,0,0,0,0,0,2401,0,0,2324,0,0,2526,0,0,0,448,156,0,292,7487,1469,326,2737,870,22,,172,811,1003,77
2012,9381,3,2012,1,302.48376465,2,2,0,,,,,,0,0,0,0,0,2,1,1,1,0,9000,62,4,3,3,3,2,1,1,1,1,1,0,1,1,0,1,2,1,1,1,2,2,1,2,2,1,2,2,,0,1,2,820000,2,5,5,0,0,0,0,10,26024,22239,23620,3785,24686,0,0,19674,3946,0,5004,3946,0,0,0,0,0,0,0,14671,0,0,3946,0,0,0,0,0,0,1381,1001,0,380,28472,1453,446,3785,2397,202,200,5097,10910,1905,2077
2012,9399,3,2012,1,147.85978699,1,1.25,1,,,,,,0,0,0,0,0,1,,1,1,0,9000,62,4,3,3,3,2,0,1,1,1,1,0,1,1,0,2,2,2,1,2,2,2,1,2,2,1,1,1,,0,1,2,450000,2,3,3,0,0,0,0,7,8980,6806,7526,2174,9997,7526,0,0,0,7526,0,0,0,0,0,7526,0,0,0,0,0,0,0,0,0,0,0,0,0,720,256,186,278,12171,2324,313,2359,635,507,,654,1634,1077,2667
2012,9407,3,2012,1,147.85978699,1,1.25,1,,,,,,0,0,0,0,0,1,,1,5,0,9000,62,4,3,3,3,2,1,0,0,1,1,0,0,1,0,1,1,0,1,2,2,2,2,2,1,1,1,1,,0,1,2,500000,1,3,3,0,0,0,0,5,6105,3931,4047,2174,2928,1416,0,0,2631,1416,0,2631,0,0,0,1416,0,0,0,0,0,0,2631,0,0,0,0,0,0,116,0,16,100,5102,612,109,2174,303,593,,437,107,492,274
2012,9415,3,2012,1,233.19252014,2,2,0,,,,,,0,0,0,0,0,2,1,1,1,0,9000,62,4,3,3,3,2,1,0,0,1,1,0,0,1,0,0,2,0,0,1,2,2,1,2,2,2,1,,,0,2,2,,,4,4,1,0,1,2,2,5161,5161,5261,0,8724,0,0,0,5261,0,0,5261,0,0,0,0,0,0,0,0,0,0,0,0,0,5261,0,0,0,100,0,0,100,8724,3602,581,502,671,172,66,661,229,384,1856
2012,9423,3,2012,1,222.82388306,6,4.25,1,,1,1,,2,0,1,1,0,0,4,2,2,1,0,7900,42,13,,4,5,5,1,0,0,2,2,0,0,1,1,1,1,1,2,5,2,2,1,2,2,1,2,2,2,17200,1,2,2500000,4,6,6,0,0,0,0,4,20199,14654,15264,5545,15810,4561,0,950,9752,4055,950,9752,0,0,0,4055,0,0,506,0,0,429,2241,0,0,0,7082,0,0,610,0,36,574,22128,4241,815,5367,1610,442,17,1789,3166,3928,753
