s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2016,84392,10,2016,4,316.69039917,2,2,0,,,,,,2,1,1,1,4000,31,3,4,3,4,1,0,0,1,1,0,0,1,0,1,1,0,0,3,2,2,1,2,1,2,2,0,0,2,1,1,2,,1,0,927892,3,3,3,0,0,0,0,2,6971,4578,4681,2393,5623,0,0,0,4681,0,0,4681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4681,0,0,103,0,0,103,8016,1336,580,2449,387,0,102,2015,967,180,0,1,3920,0,3863.708859,0,56,,927892,1
2016,84400,10,2016,4,452.33044434,4,3.2,4,,,,,,4,3,1,1,4000,31,3,4,3,4,0,1,1,1,1,1,1,1,1,0,3,0,2,4,2,2,1,2,1,2,1,0,0,2,1,1,2,1,1,0,1000000,3,4,4,0,0,0,0,6,21178,18057,19377,3121,10671,19377,0,0,0,19377,0,0,0,0,0,4775,0,14601,0,0,0,0,0,0,0,0,0,0,0,0,1320,452,242,626,13792,1350,523,3121,1242,59,717,67,1185,1905,3624,1,1978,0,1977.5787948,0,0,270923,729077,1
2016,84418,8,2016,3,270.13607788,1,1.25,0,,,,,,1,,1,1,4000,31,3,4,3,4,0,1,1,1,1,0,1,1,1,1,2,0,1,3,2,2,1,2,1,2,1,1,0,2,1,1,1,1,1,0,1500000,3,4,4,0,0,0,0,9,13862,10741,11468,3121,18685,0,0,8676,2792,0,0,2792,0,0,0,0,0,0,0,8676,0,0,2792,0,0,0,0,0,0,0,727,624,0,103,21806,561,359,3289,1046,827,99,2463,1394,10626,1141,1,1627,0,1503.188506,0,124,,1500000,1
2016,84426,9,2016,3,319.96157837,3,2.65,2,1,,,,1,2,1,1,1,4000,31,3,4,3,4,0,1,1,1,1,0,1,1,1,1,2,0,3,4,2,2,1,1,2,2,1,1,0,2,1,,2,2,1,0,1900000,3,5,5,0,0,0,0,10,37656,31047,43006,6609,25571,42857,0,0,149,42857,0,149,0,0,0,16458,26399,0,0,0,0,149,0,0,0,0,0,0,0,0,11959,7777,2254,1928,32179,2195,1175,10047,2303,6962,0,587,4941,3361,610,1,4051,2850.7540054,1200.2645864,0,0,1430000,470000,1
2016,84434,9,2016,3,92.823944092,2,2,1,,,,,,2,1,1,1,4000,31,3,4,3,4,1,0,0,1,1,0,0,1,1,2,1,0,1,3,2,2,2,2,1,2,1,2,0,2,1,1,2,,,0,,,4,4,1,0,2,2,9,24105,23910,33227,195,11623,28452,0,0,4775,28452,0,4775,0,0,0,28452,0,0,0,0,0,0,0,0,0,4775,0,0,0,0,9317,6281,1618,1418,11623,1443,684,3289,537,83,1703,686,2464,339,397,1,4801,0,3297.86984,1316.259609,187,,0,1
2016,84442,9,2016,3,125.28816223,1,1.25,0,,,,,,1,1,,1,4000,31,3,4,3,4,0,1,0,1,1,0,0,1,0,1,1,0,5,0,2,2,1,2,2,1,2,0,0,2,1,1,1,,1,0,1350000,3,3.5,3.5,0,0,0,0,10,19131,16010,20267,3121,7584,0,0,20267,0,0,0,0,0,0,0,0,0,0,0,20267,0,0,0,0,0,0,0,0,0,0,4257,4089,65,103,10705,1518,333,3462,2563,156,0,2255,143,222,53,1,1023,0,1023.082671,0,0,,1350000,1
2016,84459,9,2016,3,206.37129211,4,3.2,2,1,1,,,2,2,1,1,1,4000,31,3,4,3,4,0,1,1,1,1,0,1,1,1,1,2,0,1,1,2,2,1,1,1,2,1,2,1,2,1,,2,2,,0,,,5,5,1,0,2,2,9,41452,41192,56819,260,39172,48842,0,0,7978,11994,7641,337,0,0,7641,0,11994,0,36848,0,0,337,0,0,0,0,0,0,0,0,15627,9051,4349,2227,39172,3097,904,5487,2156,662,1162,651,9439,14955,660,1,4652,3234.0669808,1417.4553211,0,0,,0,1
2016,84467,9,2016,3,213.07820129,2,2,2,,,,,,2,1,1,1,4000,31,3,4,3,4,0,1,1,1,1,0,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,1,0,2,1,1,2,2,1,1,1500000,2,4,4,0,0,0,0,10,29455,26334,28801,3121,13862,16264,2490,8279,1769,16264,1054,1769,0,0,0,9840,6423,0,0,7225,0,0,1769,0,0,0,0,0,0,0,2467,1666,392,409,16983,1354,414,3121,1988,0,0,2018,937,5340,1812,1,11646,0,3297.86984,8156.049864,192,,3000000,1
2016,84475,8,2016,3,160.58230591,2,2,2,,,,,,2,1,1,1,4000,31,3,4,3,4,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2,2,2,2,1,2,2,0,0,2,1,2,2,2,1,0,926957,2,3.5,3.5,0,0,0,0,10,30669,27548,30439,3121,27951,4710,0,21141,4587,4710,0,4587,0,0,0,2319,2390,0,0,21141,0,0,4587,0,0,0,0,0,0,0,2891,2463,38,390,31072,4795,960,3339,1604,0,0,2714,2083,13515,2062,2,4352,0,4303.805874,0,48,,926957,1
2016,84483,8,2016,3,178.78263855,2,2,1,,,,,,2,1,1,1,4000,31,3,4,3,4,1,0,0,1,1,0,0,1,0,1,3,1,1,1,2,2,1,2,1,2,2,0,0,2,1,1,2,,1,0,1000000,3,3,3,0,0,0,0,2,6934,4541,4858,2393,10489,166,0,0,4692,166,0,4692,0,0,0,166,0,0,0,0,0,0,4692,0,0,0,0,0,0,0,317,0,19,298,12882,1243,634,2459,595,2545,130,3906,808,476,87,1,3920,0,3863.708859,0,56,,1000000,1
