s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,Electric_Scooter,Electric_Bicycle,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,i141101,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2017,687,1,2017,1,262.47131348,2,2,0,,,,,,2,1,1,3,7100,61,4,3,3,2,1,0,0,1,1,0,0,1,0,1,1,1,2,2,2,1,2,2,1,2,0,0,1,1,1,2,,0,0,,0,,,3,3,1,0,2,2,1,5283,5283,5489,0,6315,0,0,0,5489,0,0,4703,786,0,0,0,0,0,0,0,0,0,3052,0,0,0,0,1651,0,0,0,206,0,0,206,6315,618,626,2309,385,0,0,1800,0,376,201,1,2699,0,2603.108578,0,96,,0,5
2017,695,1,2017,1,715.78363037,5,3.75,4,,,,,,5,2,3,1,7100,61,4,3,3,2,0,1,1,1,2,1,0,1,1,1,4,1,1,2,2,1,1,1,2,1,0,0,2,1,1,2,1,0,0,1,0,1850000,2,5,5,0,0,0,0,7,31912,27850,32287,4062,10817,32287,0,0,0,32287,0,0,0,0,0,13539,0,18748,0,0,0,0,0,0,0,0,0,0,0,0,0,4437,2142,976,1319,14879,2505,679,4062,1556,140,2724,588,220,2081,323,2,3000,0,3000.393943,0,0,406526,1443474,1
2017,703,1,2017,1,291.01858521,1,1.25,1,,,,,,1,1,,1,7100,61,4,3,3,2,0,1,1,1,2,0,1,1,0,1,2,1,3,2,2,1,1,1,2,2,1,0,1,1,1,1,1,0,0,1,0,1300000,2,4,4,0,0,0,0,8,12221,8996,10735,3225,9635,10735,0,0,0,10735,0,0,0,0,0,10735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1739,934,376,429,12860,1805,653,3356,2253,1065,0,916,855,1738,218,1,1061,0,1061.404181,0,0,,1300000,1
2017,711,1,2017,1,264.54348755,1,1.25,1,,,,,,1,1,,1,7100,61,4,3,3,2,0,1,1,1,1,0,1,1,0,1,0,2,1,2,2,1,1,2,2,2,0,0,2,1,,1,,0,0,,0,,,3,3,1,1,2,2,3,5124,5124,5369,0,3144,5369,0,0,0,5369,0,0,0,0,0,5369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,57,21,167,3144,0,0,2610,132,0,0,0,0,402,0,1,213,0,213.466763,0,0,,0,1
2017,737,2,2017,1,265.39331055,4,3.2,2,,,,,,4,3,1,1,0000,32,6,4,3,2,0,1,1,1,1,1,1,1,1,1,2,1,7,2,2,1,2,1,2,2,1,1,2,1,1,2,1,0,0,1,0,4500000,4,6,6,0,0,0,0,10,54164,48670,80749,5494,12572,79145,0,0,1604,79145,0,1604,0,0,0,73899,5246,0,0,0,0,0,0,0,0,1604,0,0,0,0,0,32079,26840,2811,2428,18066,1049,165,5845,2884,4304,0,2469,187,1163,0,1,4068,0,2496.375198,1572.041113,0,,4500000,1
2017,745,2,2017,1,175.67849731,2,2,0,,,,,,2,1,1,3,0000,23,6,3,3,2,1,1,0,1,1,0,0,1,0,1,1,1,1,2,2,2,1,1,2,2,0,0,2,1,,2,,0,0,,0,,,3,3,1,0,2,2,2,5542,5542,5815,0,6110,0,0,0,5815,0,0,4412,1404,0,0,0,0,0,0,0,0,0,4412,0,0,0,0,0,0,0,0,273,0,67,206,6110,2037,393,2410,361,234,231,218,100,128,0,1,7712,0,3421.397836,4233.713704,57,,0,5
2017,752,2,2017,1,335.12948608,6,4.25,4,,,1,,1,5,2,3,1,6500,32,5,3,4,3,0,2,1,1,2,2,1,1,1,0,4,2,5,2,2,1,1,1,2,1,1,0,2,1,1,2,1,0,0,1,0,1600000,2,5,5,0,0,0,0,4,22230,17589,18577,4641,6325,18427,0,0,150,18427,0,150,0,0,0,1275,0,17151,0,0,0,150,0,0,0,0,0,0,0,0,0,988,98,219,671,10966,1674,654,4641,1255,344,0,374,431,1461,130,2,5378,2484.6152306,2893.660561,0,0,,1600000,1
2017,760,2,2017,1,371.44088745,4,3.2,2,1,1,,,2,2,1,1,1,6500,32,5,3,4,3,1,0,0,1,1,0,1,1,0,1,3,4,4,2,2,1,2,1,2,1,1,1,2,1,1,2,1,0,0,1,0,940000,3,4,4,0,0,0,0,7,25689,22489,26948,3200,9184,26609,0,0,339,26609,0,339,0,0,0,13960,12649,0,0,0,0,339,0,0,0,0,0,0,0,0,0,4459,2241,1106,1112,12380,3233,74,3196,824,0,0,476,3449,818,311,1,4850,3391.5672772,1458.6895452,0,0,454011,485989,1
2017,778,2,2017,1,146.86019897,2,2,0,,,,,,2,1,1,1,6500,32,5,3,4,3,1,0,0,0,1,0,1,1,0,1,1,1,1,2,2,1,2,2,2,1,0,0,1,1,,2,1,0,0,1,0,750000,2,3,3,0,0,0,0,4,9872,7237,7821,2635,7332,0,0,4813,3008,0,0,2507,501,0,0,0,0,0,0,4813,0,0,0,0,0,2507,0,0,0,0,0,584,481,0,103,9967,809,260,2694,405,55,0,3292,708,1743,0,2,3490,0,1737.382263,1572.041113,181,26575,723425,1
2017,786,2,2017,1,218.52810669,2,2,2,,,,,,2,1,1,1,6500,32,5,3,4,3,0,0,1,1,1,0,0,1,0,1,3,1,3,2,2,1,2,1,2,2,1,0,2,1,1,2,1,0,0,1,0,1000000,3,4,4,0,0,0,0,7,16602,13406,14255,3196,8362,10196,0,0,4059,10196,0,4059,0,0,0,7385,2811,0,0,0,0,0,3614,0,0,0,445,0,0,0,0,849,298,157,394,11558,1395,563,3648,820,2256,316,1427,447,685,0,1,2948,0,2869.942033,0,78,55589,944411,1
2017,794,2,2017,1,396.24819946,2,2,2,,,,,,2,,2,1,6500,32,5,3,4,3,0,1,1,1,1,0,0,1,1,1,1,1,2,2,2,1,2,1,2,1,0,0,2,1,1,2,2,0,0,1,0,1500000,3,6,6,0,0,0,0,8,18957,14250,16538,4707,7888,16538,0,0,0,16538,0,0,0,0,0,12450,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,2288,1110,512,666,12529,1124,386,4641,1161,33,223,57,350,1837,2717,2,1441,0,1440.9006487,0,0,338038,1161962,1
2017,802,2,2017,1,546.92102051,1,1.25,1,,,,,,1,1,,1,6500,32,5,3,4,3,0,1,0,0,1,0,0,0,0,1,1,3,2,2,2,1,2,1,2,2,0,0,2,1,1,1,1,0,0,,0,,,3.5,2.5,1,0,2,2,6,8645,8645,9447,0,10332,8444,0,0,1003,7286,0,0,0,1003,0,7286,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,802,282,261,259,10332,1417,82,2610,940,1061,0,50,3234,872,65,1,243,0,243.1149242,0,0,,0,1
2017,810,1,2017,1,150.57269287,2,2,2,,,,,,2,1,1,1,0000,32,7,4,3,2,0,2,2,1,2,1,1,1,1,1,2,0,4,2,2,1,1,1,2,1,0,0,2,1,1,2,1,0,0,1,1,2607937,4,5,5,0,0,0,0,10,34524,27994,40062,6530,11390,40062,0,0,0,11678,0,0,0,0,0,11678,0,0,28383,0,0,0,0,0,0,0,0,0,0,0,0,12068,6889,3386,1793,17920,3308,1127,6727,2391,227,0,586,300,1397,1858,2,2069,0,2069.441672,0,0,,4107937,1
2017,828,1,2017,1,658.20031738,1,1.25,0,,,,,,1,,1,1,0000,32,7,4,3,2,1,0,0,1,2,0,1,1,0,0,3,1,3,2,2,1,2,1,2,1,0,0,2,1,1,1,1,0,0,1,1,1346989,5,3.5,3.5,0,0,0,0,10,22946,18414,19706,4532,5089,0,1002,11925,6779,0,0,3687,3092,0,0,0,0,0,0,11925,0,0,1844,1843,0,0,0,0,0,0,0,1292,1096,0,196,9621,1343,205,4715,1627,63,0,618,386,658,7,1,6625,0,2016.074981,4368.0094233,241,,2846989,1
2017,836,1,2017,1,389.84298706,4,3.2,2,,2,,,2,2,1,1,1,0000,32,7,4,3,2,0,1,1,1,1,1,1,1,1,1,0,2,7,1,2,1,1,2,2,2,0,0,2,1,1,2,2,0,0,1,1,2607937,4,5,5,0,0,0,0,10,51539,45009,64501,6530,16587,60003,4159,0,338,60003,0,338,0,0,0,28858,31145,0,0,0,0,338,0,0,0,0,0,0,0,0,0,19492,13258,3450,2784,23117,2320,507,6697,2507,83,1164,1935,3776,3898,229,1,4910,3391.5672772,1517.985867,0,0,,4107937,1
2017,844,1,2017,1,346.12478638,4,3.2,2,,,1,1,2,2,1,1,1,0000,32,7,4,3,2,0,1,1,1,2,0,1,1,1,1,3,2,3,2,2,1,1,1,2,1,3,1,2,1,1,2,2,0,0,1,0,2607937,4,5,5,0,0,0,0,10,44546,32322,42606,12224,22299,39705,0,0,2901,39705,0,2901,0,0,0,24174,15531,0,0,0,0,338,0,0,0,2563,0,0,0,0,0,10284,6486,2029,1769,34522,3745,1607,6774,2893,1755,0,2288,2503,11037,1919,1,8366,4969.2304612,1761.100792,1572.041113,64,,2607937,1
2017,851,1,2017,1,429.37319946,6,4.25,2,,,4,,4,2,1,1,1,0000,32,7,4,3,2,0,1,1,1,1,0,1,1,1,0,3,5,3,2,2,1,1,2,1,1,2,1,2,1,1,2,2,0,0,1,0,3035574,3,6,6,0,0,0,0,10,58182,41639,60685,16543,20386,59971,0,0,714,59971,0,714,0,0,0,34191,25779,0,0,0,0,714,0,0,0,0,0,0,0,0,0,19046,12815,3448,2783,36405,4553,1042,6733,3155,373,496,1703,6953,10798,599,1,8521,6783.1345544,1737.382262,0,0,334818,2700756,1
2017,869,1,2017,1,131.19340515,2,2,1,,,,,,2,1,1,1,0000,32,7,4,3,2,0,1,1,1,1,0,1,1,1,1,3,2,3,2,2,2,1,1,2,1,0,0,2,1,1,2,1,0,0,1,0,3500000,4,6,6,0,0,0,0,8,21329,14799,17373,6530,7018,13265,67,1724,2317,13265,0,2317,0,0,0,13266,0,0,0,1724,0,0,2317,0,0,0,0,0,0,0,0,2574,1362,554,658,13548,1290,215,6590,1775,334,524,1305,455,1060,0,1,3467,0,3421.397836,0,46,,3500000,1
2017,877,1,2017,1,212.20449829,2,2,2,,,,,,2,1,1,1,0000,32,7,4,3,2,1,0,0,1,2,1,1,1,1,1,5,3,5,1,2,1,1,1,2,2,0,0,2,1,1,2,2,0,0,1,0,4000000,2,5,5,0,0,0,0,10,47669,36578,53707,11091,26059,53707,0,0,0,53707,0,0,0,0,0,37265,16442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17129,11651,3009,2469,36954,6092,1087,6731,2929,2148,1403,2646,941,9550,3429,1,3421,0,3421.397836,0,0,462119,3537881,1
2017,885,1,2017,1,324.84970093,4,3.2,3,,,1,,1,3,1,2,1,0000,32,7,4,3,2,0,1,1,1,1,0,1,1,1,1,3,3,6,1,2,1,1,1,2,1,1,0,2,1,1,2,2,0,0,1,1,3500000,4,6,4.5,0,0,0,0,10,45533,36602,43457,8931,25005,30799,12508,0,150,30799,0,150,0,0,0,21986,7010,1803,0,0,0,150,0,0,0,0,0,0,0,0,0,6855,4174,1298,1383,33936,3907,1193,4998,3806,2395,0,3631,1826,11792,387,1,5034,2484.6152306,2549.741888,0,0,552567,4447433,1
2017,893,2,2017,1,216.6875,4,3.2,1,,,,,,4,3,1,1,6600,53,4,3,5,5,0,1,1,0,1,0,0,1,0,0,2,0,2,2,2,1,2,2,1,2,0,0,2,1,1,2,,0,0,1,0,1200000,3,3,3,0,0,0,0,4,17603,14147,15285,3456,4453,4890,0,5916,4479,4890,0,4479,0,0,0,4890,0,0,0,5916,0,0,3677,0,0,802,0,0,0,0,0,1138,398,87,653,7909,1698,587,3456,689,0,0,1109,0,276,95,2,5609,0,4002.5018012,1572.041113,34,,1200000,1
2017,901,2,2017,1,269.54650879,2,2,2,,,,,,2,1,1,1,6600,53,4,3,5,5,1,1,0,0,1,0,0,1,0,1,0,4,1,2,2,2,2,2,2,1,0,0,2,1,,2,2,0,1,,0,,,2.5,2.5,1,0,2,2,10,27563,22302,28437,5261,9513,28437,0,0,0,26599,0,0,0,0,0,8627,17972,0,1838,0,0,0,0,0,0,0,0,0,0,0,0,6135,3697,1234,1204,14448,1940,246,3112,735,580,358,263,0,6384,829,4,676,0,675.9780819,0,0,,0,1
2017,919,2,2017,1,351.03100586,2,2,1,,,,,,2,2,,1,6600,53,4,3,5,5,1,0,0,1,1,1,1,1,1,0,2,1,3,2,2,1,2,1,2,2,1,0,2,1,1,2,,0,0,1,1,1415000,2,3,3,0,0,0,0,9,21606,18150,19148,3456,12011,2179,3108,9024,4837,2179,0,4837,0,0,0,2179,0,0,0,9024,0,0,2236,0,0,2601,0,0,0,0,0,998,630,19,349,15467,3118,342,3689,3971,33,0,2661,304,1219,130,5,4533,0,2786.92718,1572.041113,174,,2915000,1
2017,927,2,2017,1,315.3453064,2,2,1,,,,1,1,1,,1,3,6600,53,4,3,5,5,1,0,0,1,1,0,0,1,1,1,2,1,1,2,2,1,2,1,2,1,0,0,2,1,1,2,,0,0,,0,,,3,3,1,0,2,2,1,3701,3701,3872,0,7143,1045,0,0,2828,1045,0,1654,1173,0,0,1045,0,0,0,0,0,150,0,0,0,0,0,0,1504,0,0,171,0,19,152,7143,676,201,3334,627,0,0,107,882,1316,0,6,3266,2484.6152306,717.485508,0,64,,0,2
2017,935,2,2017,1,297.06369019,5,3.75,1,2,1,,,3,2,1,1,1,3000,11,1,2,5,5,0,1,1,1,1,0,0,1,1,1,1,2,3,2,2,1,2,2,2,1,1,0,2,1,,2,2,0,0,1,1,1875000,3,3,3,0,0,0,0,8,39294,34686,42238,4608,34772,25332,0,0,16906,25332,0,465,0,0,0,25332,0,0,0,0,0,465,0,0,0,0,0,0,0,0,16441,7552,5000,1395,1157,39380,1453,446,21967,1643,297,1651,1418,6960,2976,568,3,9057,6365.3210028,2692.0530635,0,0,1854666,2720334,1
2017,943,1,2017,1,441.34140015,1,1.25,0,,,,,,1,1,,1,3000,11,1,2,5,5,1,0,1,0,1,1,0,1,1,1,1,0,0,2,2,1,2,1,2,2,0,0,2,2,1,1,,0,0,1,0,1600000,2,4,4,0,0,0,0,4,6401,1735,1931,4666,2509,0,0,0,1931,0,0,1931,0,0,0,0,0,0,0,0,0,0,1931,0,0,0,0,0,0,0,0,196,0,0,196,7175,410,27,4867,896,13,83,506,250,123,0,3,1862,0,1861.904542,0,0,,1600000,1
2017,950,2,2017,1,288.32400513,1,1.25,1,,,,,,1,1,,1,3000,11,1,2,5,5,1,0,0,1,1,0,0,1,2,1,0,2,0,2,2,1,2,2,2,2,0,0,2,1,,1,1,0,0,,0,,,3,2,1,0,1,2,4,6019,6019,6481,0,5629,6481,0,0,0,6481,0,0,0,0,0,6481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,172,75,215,5629,378,334,2008,385,401,0,0,58,2065,0,1,2992,0,243.1149242,2579.83617,169,,0,1
2017,968,2,2017,1,359.73339844,4,3.2,3,,,1,,1,3,1,2,1,3000,11,1,2,5,5,0,1,1,1,1,0,1,1,1,1,3,3,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,0,0,1,5,4000000,3,6,6,0,0,0,0,9,36714,30555,41270,6159,22987,41120,0,0,150,26539,0,150,0,0,0,24839,0,1700,14581,0,0,150,0,0,0,0,0,0,0,0,0,10715,6238,2720,1757,29146,3505,223,8227,4510,0,1274,1875,2991,6457,83,3,3457,1695.7836386,1761.1007925,0,0,546710,10953290,1
2017,976,2,2017,1,143.3526001,2,2,2,,,,,,2,1,1,1,0000,22,6,2,2,2,0,1,2,1,2,1,0,1,0,1,2,1,3,2,2,1,1,1,2,1,1,0,2,1,1,2,1,0,0,1,0,1400000,2,4,4,0,0,0,0,9,25173,22368,27200,2805,8537,27200,0,0,0,18892,0,0,0,0,0,18892,0,0,8308,0,0,0,0,0,0,0,0,0,0,0,0,4832,2124,1563,1145,11342,428,323,2805,1646,134,1215,357,2250,2185,0,2,2123,0,2122.80832,0,0,,1400000,1
2017,984,2,2017,1,343.1776123,1,1.25,0,,,,,,1,,1,1,0000,22,6,2,2,2,1,0,0,1,1,0,0,1,0,1,1,0,1,2,2,1,1,1,2,2,0,0,2,2,1,,,0,0,,1,,,3,3,1,0,2,2,3,5311,5311,5414,0,4373,0,0,0,5414,0,0,2406,3008,0,0,0,0,0,0,0,0,0,0,2406,0,0,0,0,0,0,0,103,0,0,103,4373,915,178,2209,537,0,0,269,211,55,0,2,6414,0,2045.723143,4368.0094233,0,,1500000,1
2017,992,3,2017,1,81.906799316,1,1.25,0,,,,,,1,,1,1,0000,22,6,2,2,2,1,0,0,1,1,0,1,1,0,1,4,0,3,2,2,1,1,1,2,2,0,0,2,2,1,1,1,0,0,1,0,2000000,4,4,4,0,0,0,0,7,10888,8083,8599,2805,17441,0,0,4916,3682,0,0,3682,0,0,0,0,0,0,0,4916,0,0,2530,1152,0,0,0,0,0,0,0,516,319,0,197,20246,908,939,2805,1074,40,813,821,524,12321,0,1,1800,0,1583.211824,134.2957193,82,,2000000,1
2017,1008,3,2017,1,490.65570068,1,1.25,0,,,,,,1,,1,1,4000,31,3,4,4,4,1,0,0,1,1,1,0,1,0,0,2,0,1,2,2,2,2,1,2,2,0,0,2,2,1,1,,0,0,1,0,902473,3,3,3,0,0,0,0,4,6250,3738,4013,2512,2869,0,0,1204,2809,0,0,2809,0,0,0,0,0,0,0,1204,0,0,2809,0,0,0,0,0,0,0,0,275,78,0,197,5381,365,244,2512,662,652,0,146,632,168,0,2,2038,0,2016.074981,0,22,,902473,1
