s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,Electric_Scooter,Electric_Bicycle,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,i141101,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2018,14969,5,2018,2,396.58969116,5,3.75,1,,1,2,,3,2,1,1,2,0000,31,9,3,3,2,0,1,0,1,1,1,1,1,0,0,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,0,0,,0,,,4,4,0,0,0,0,2,12195,9649,9835,2546,9696,3867,0,0,5968,3867,0,5968,0,0,0,3867,0,0,0,0,0,532,0,0,0,5436,0,0,0,0,0,186,0,21,165,12242,2628,0,2546,916,111,0,432,2259,2371,979,2,13553,7304.5695408,1542.402405,4591.008879,115,,0,3
2018,14977,5,2018,2,201.47717285,3,2.65,1,,,,,,3,2,1,2,0000,31,9,3,3,2,0,1,1,0,1,1,0,1,0,0,1,0,1,2,2,1,2,2,1,2,0,0,1,2,,2,1,0,0,1,0,703475,4,3,3,0,0,0,0,2,7914,5904,6290,2010,7329,3975,0,0,2315,3975,0,2315,0,0,0,3975,0,0,0,0,0,0,2315,0,0,0,0,0,0,0,0,386,2,21,363,9339,2680,863,2010,1102,65,195,0,0,1960,464,2,2165,0,2005.732769,0,159,,703475,3
2018,14985,4,2018,2,259.23736572,2,2,0,,,,,,2,1,1,2,0000,24,9,1,2,2,0,1,1,1,2,1,0,1,0,1,2,0,3,2,2,1,1,2,2,2,0,0,1,2,1,2,,0,0,1,0,584647,4,3,3,0,0,0,0,2,6779,4741,4845,2038,4981,0,0,0,4845,0,0,4845,0,0,0,0,0,0,0,0,0,0,4845,0,0,0,0,0,0,0,0,104,0,0,104,7019,3116,301,2038,593,536,87,0,0,247,100,3,3065,0,2999.454475,0,66,,584647,3
2018,14993,4,2018,2,81.22504425,5,3.75,2,1,,2,,3,2,1,1,1,6800,31,5,3,3,3,0,1,1,1,2,0,0,1,0,0,2,1,1,2,2,1,2,1,2,1,0,0,1,1,,2,,0,0,1,0,594671,3,3,3,0,0,0,0,3,17717,15560,16476,2157,10480,10908,0,0,5568,10908,0,5568,0,0,0,7612,3296,0,0,0,0,533,0,0,0,0,0,0,0,0,5035,916,323,159,434,12637,4197,390,2187,1155,2466,0,236,192,1308,505,3,5908,3493.9653274,2414.195067,0,0,0,594671,1
2018,15008,4,2018,2,513.74127197,4,3.2,1,1,1,,,2,2,1,1,2,0000,24,9,1,2,2,0,1,1,0,1,0,0,1,1,1,1,1,1,2,2,1,2,2,1,2,1,0,1,2,,2,1,0,0,1,0,250000,4,3,3,0,0,0,0,1,8548,6716,6969,1832,6526,6358,0,0,612,6358,0,612,0,0,0,6358,0,0,0,0,0,342,0,0,0,0,0,0,0,0,269,253,0,49,204,8358,2110,208,1832,1115,1320,0,0,0,936,837,2,3942,1746.9826637,2194.7227874,0,0,,250000,3
2018,15016,4,2018,2,351.46130371,2,2,0,,,,,,2,,2,2,0000,24,9,1,2,2,1,0,0,1,1,1,0,1,0,1,1,1,1,2,2,1,2,2,1,1,1,0,1,1,1,2,1,0,0,1,0,500000,4,3,3,0,0,0,0,2,7730,5898,6191,1832,11166,0,0,0,6191,0,0,6191,0,0,0,0,0,0,0,0,0,0,2927,0,0,0,3263,0,0,0,0,293,0,23,270,12998,1878,927,1832,1400,333,0,1012,0,2930,2685,3,2617,0,2603.1850833,0,14,,500000,3
2018,15024,4,2018,2,980.01190186,2,2,1,,,,,,2,1,1,2,0000,24,9,1,2,2,0,1,1,1,1,0,0,1,0,0,1,0,2,2,2,1,2,2,1,2,1,1,1,1,,2,1,0,0,1,0,600000,4,4,4,0,0,0,0,3,8416,6187,6452,2229,5577,6452,0,0,0,6452,0,0,0,0,0,6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,56,209,7806,3437,207,2229,1340,63,0,131,0,399,0,2,750,0,749.863619,0,0,,600000,3
2018,15032,4,2018,2,318.6736145,7,4.75,2,1,2,1,1,5,2,1,1,2,0000,24,9,1,2,2,0,1,1,1,1,1,0,1,0,0,1,1,1,2,2,1,2,2,1,2,0,0,1,1,1,2,,0,0,1,0,350000,4,4,4,0,0,0,0,1,12568,10339,11053,2229,7724,10178,0,0,875,10178,0,875,0,0,0,8645,1532,0,0,0,0,875,0,0,0,0,0,0,0,0,0,714,0,230,484,9953,1059,253,2229,647,3346,725,0,457,297,939,1,11237,8620.9282268,2414.1950659,0,202,,350000,3
2018,15040,4,2018,2,256.91619873,2,2,1,,,,,,2,1,1,2,0000,24,9,1,2,2,0,1,1,1,1,0,0,1,0,1,1,1,1,2,2,2,2,1,1,2,1,0,1,1,,2,1,0,0,1,0,500000,4,4,4,0,0,0,0,6,14914,12685,13920,2229,19295,13920,0,0,0,13920,0,0,0,0,0,13920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,75,578,582,21524,2201,218,2229,1020,473,1090,585,131,8979,4598,1,750,0,749.863619,0,0,,500000,3
2018,15057,4,2018,2,311.75787354,7,4.75,2,,2,2,1,5,2,1,1,2,0000,24,9,1,2,2,0,1,1,1,1,0,0,1,0,1,1,0,1,2,2,1,2,2,1,2,1,0,1,2,,2,,0,1,1,0,500000,4,4,4,0,0,0,0,2,15740,13511,14232,2229,11407,13357,0,0,875,13357,0,875,0,0,0,8702,4655,0,0,0,0,875,0,0,0,0,0,0,0,0,0,721,0,234,487,13636,4248,849,2229,1474,215,423,192,1178,1513,1315,1,12767,10367.910891,2145.9511696,0,253,,500000,3
2018,15065,3,2018,1,171.00358582,6,4.25,5,,,,,,6,4,2,1,0000,70,6,3,3,2,0,1,1,1,2,0,0,1,1,1,2,1,1,2,2,1,2,1,2,1,2,0,2,1,1,2,2,0,0,1,1,1400000,3,5,5,0,0,0,0,6,32715,29453,32854,3262,8540,32017,0,0,838,32017,0,838,0,0,0,6327,0,25689,0,0,0,0,0,0,0,838,0,0,0,0,0,3401,1627,698,1076,11802,1893,660,2775,1932,668,71,1602,227,1692,283,3,4707,0,2737.307032,1784.231391,185,,2991608,1
2018,15073,4,2018,2,662.11413574,1,1.25,1,,,,,,1,1,,3,8600,52,4,4,5,5,0,0,0,0,1,0,0,0,0,1,0,1,1,2,2,2,2,2,2,2,0,0,2,1,,1,,0,1,,0,,,1,1,1,0,2,2,3,5793,5465,5652,328,4543,5248,0,0,404,5248,0,0,404,0,0,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,21,166,4543,424,105,2508,694,0,0,0,0,77,735,1,250,0,249.9545397,0,0,,0,5
2018,15081,4,2018,2,348.79251099,2,2,1,,,,,,2,1,1,1,8600,52,4,4,5,5,1,0,0,1,1,1,1,1,0,0,2,1,2,2,2,1,2,1,2,2,0,0,2,1,1,2,1,0,0,,1,,,4,4,1,0,2,2,4,11032,11032,11788,0,10659,7038,2624,0,2126,7038,0,2126,0,0,0,7038,0,0,0,0,0,0,2126,0,0,0,0,0,0,0,0,756,134,97,525,10659,2301,703,4431,990,77,894,508,327,427,0,2,3161,0,2950.682859,0,210,,1591608,1
2018,15099,4,2018,2,186.89135742,2,2,2,,,,,,2,1,1,1,8600,52,4,4,5,5,0,1,1,1,2,1,1,1,1,1,3,0,1,2,2,1,2,1,2,1,0,0,2,1,1,2,1,0,0,1,1,1800000,3,4,3,0,0,0,0,10,37990,30403,36888,7587,9975,27904,3533,3230,2221,27904,0,2221,0,0,0,10158,0,17746,0,3230,0,0,0,2221,0,0,0,0,0,0,0,6485,4157,1161,1167,17563,1059,713,4017,1686,291,72,2952,1198,5352,223,2,2080,0,1950.8646996,129.1125218,0,790465,8001143,1
