s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_3,nefashot4_5,nefashot6_11,nefashot12_15,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,value_car,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,dirotBaalutLoGarim,religion
2014,9480,3,2014,1,206.88360596,4,3.2,2,1,,1,,2,2,1,1,1,0000,23,7,1,3,3,2,0,1,1,1,1,1,0,1,0,0,2,1,3,2,2,2,1,2,2,2,0,2,1,1,2,1,0,1,2,1600000,2,5,3.5,0,0,0,0,7,25695,21943,25976,3752,20428,25695,0,0,281,25695,0,281,0,0,0,15130,10566,0,0,0,0,281,0,0,0,0,0,0,0,4033,2290,802,941,23636,2638,261,3208,1623,333,233,309,2961,11864,206,1,0,1
2014,9498,3,2014,1,119.44509888,4,3.2,3,,,,1,1,3,2,1,1,0000,23,7,1,3,3,2,0,1,1,1,1,1,1,1,1,1,5,1,3,6,2,2,1,2,2,1,1,2,1,1,2,2,0,1,1,1900417,2,6,5,0,0,0,0,10,60116,42117,57199,17999,27435,49845,4509,0,2846,37821,0,2846,0,0,0,22968,14449,404,12024,0,0,140,0,0,2705,0,0,0,0,15082,9804,3011,2267,45434,3739,656,4013,3011,952,201,1834,3467,25062,2499,1,1,1
2014,9506,4,2014,2,190.4230957,2,2,2,,,,,,2,1,1,3,0000,24,6,1,3,2,2,1,0,0,1,1,0,0,1,0,1,2,1,1,1,2,2,1,2,2,0,0,2,1,1,2,,0,1,2,705987,3,3,3,0,0,0,0,5,11308,9188,9535,2120,4669,9535,0,0,0,9535,0,0,0,0,0,5040,4495,0,0,0,0,0,0,0,0,0,0,0,0,347,13,38,296,6789,2250,582,2120,800,134,0,0,284,541,78,1,0,2
2014,9514,3,2014,1,125.11039734,1,1.25,0,,,,,,1,,1,1,0000,24,6,1,3,2,2,1,0,0,1,1,0,0,0,0,1,1,0,0,1,2,2,1,2,2,0,0,2,2,1,1,,0,,2,,,1,1,1,0,3,2,2,3516,3516,3619,0,3535,0,0,0,3619,0,0,2772,847,0,0,0,0,0,0,0,0,0,2772,0,0,0,0,0,0,103,0,0,103,3535,626,78,1093,147,706,148,348,24,234,131,1,0,1
2014,9522,3,2014,1,144.30799866,1,1.25,0,,,,,,1,,1,1,0000,24,6,1,3,2,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2,2,1,2,2,0,0,2,2,1,1,,0,,2,,,1,1,1,0,3,2,2,3516,3516,3619,0,4876,0,0,0,3619,0,0,2772,847,0,0,0,0,0,0,0,0,0,2772,0,0,0,0,0,0,103,0,0,103,4876,1021,194,1062,141,0,0,2340,19,38,61,1,0,1
2014,9530,4,2014,2,160.52149963,5,3.75,2,1,,2,,3,2,1,1,1,0000,31,6,,3,3,3,1,0,0,1,1,0,0,1,0,1,0,0,2,3,2,2,2,2,1,1,0,2,1,1,2,1,0,1,2,550000,3,3,3,0,0,0,0,3,14138,11910,13539,2228,9811,13118,0,0,422,11979,0,422,0,0,0,8878,3101,0,1138,0,0,422,0,0,0,0,0,0,0,1629,791,308,530,12032,2294,435,2221,1000,301,772,395,809,1946,1859,4,0,1
2014,9548,4,2014,2,150.54879761,2,2,1,,,,,,2,1,1,1,0000,31,6,,3,3,3,0,1,1,1,1,0,0,1,0,1,3,1,0,3,2,2,1,2,1,0,0,2,2,1,2,1,0,1,2,700000,3,4,4,0,0,0,0,4,9651,6937,8029,2714,5184,8029,0,0,0,0,0,0,0,0,0,0,0,0,8029,0,0,0,0,0,0,0,0,0,0,1092,141,654,297,7898,507,573,2714,1165,297,80,482,573,1183,324,2,0,1
2014,9555,4,2014,2,101.30069733,1,1.25,0,,,,,,1,,1,1,0000,31,6,,3,3,3,0,1,0,1,1,0,0,1,0,0,0,0,0,1,2,2,2,2,2,0,0,2,2,1,,,0,,2,,,1.5,1.5,1,0,2,2,1,3008,3008,3111,0,3911,0,0,0,3111,0,0,2409,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2409,0,103,0,0,103,3911,914,76,1502,369,0,0,900,0,90,61,1,0,1
2014,9563,1,2014,1,248.57069397,3,2.65,2,,1,,,1,2,1,1,1,4000,31,3,,4,3,4,1,0,0,1,1,0,0,1,0,0,2,1,2,1,2,2,1,2,2,0,1,2,1,,2,,0,,2,,,3,3,1,0,2,2,4,11318,11318,11745,0,12842,9413,0,0,2332,9413,0,140,0,2193,0,4673,4740,0,0,0,0,140,0,0,0,0,0,0,0,427,61,56,310,12842,2155,454,2508,637,208,199,430,4259,1941,50,1,0,1
2014,9571,2,2014,1,462.20181274,4,3.2,4,,,,,,4,3,1,1,4000,31,3,,4,3,4,1,0,0,1,1,0,0,1,1,0,2,0,1,0,2,2,1,2,1,0,0,2,1,1,2,1,0,1,2,1174823,1,4,4,0,0,0,0,2,8001,5009,5914,2992,4285,4914,0,1000,0,7652,0,0,0,0,0,0,0,7651,-2738,1000,0,0,0,0,0,0,0,0,0,905,91,403,411,7277,607,254,3122,941,130,0,618,367,1228,11,2,0,1
