S_Seker,MisparMb,Hodesh_Hakira,Shnat_Hakira,Quarter,Weight,Nefashot,NefeshStandartit,Mefarnesim,Nefashot0_4,Nefashot5_9,Nefashot10_14,Nefashot15_17,NefashotAd18,Nefashot18Up,Men18up,Women18up,Nationality,Yshuv,Nafa,Zurat_Y,Cluster,MadadPereferia,Tanur_Ba,Tanur_B,Tanur_A,Microwave,Refrigerator,Deep_Freezer,Dish_Washer,Washing_M,Dryer,V_Cleaner,Television,Computer,A_Conditioner,C_Heating,F_Heating,Water_Heating,Security_Room,Cable_Tv,Water_Purification_Device,Tablet,Gamer,Satellite_Dish,internet,Phones,Cell_Phones,Cars,Electric_Scooter,Electric_Bicycle,Baalut,Owned_Appartement_Not_For_Living,Value_D,Mocher_D,Sah_Hadrim,Hadrim,Rented_D,Add_Payers,Maskir,Mafteah,Decile,Total_Net,Net,i1Kaspit,iInKind,c3Kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,i141101,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Sex_RMB,MaamadRMB,Religion
2021,29495,4,2021,2,168.603,2,2,1,,,,,,2,1,1,1,0,24,6,3,2,0,1,1,1,1,0,1,1,0,1,2,2,3,2,2,1,2,1,2,2,0,2,1,,2,,0,0,1,0,900000,2,2.5,2.5,0,0,0,0,4,10511,8166,8521,2345,4214,3392,0,0,5129,3392,0,5129,0,0,0,3392,0,0,0,0,0,0,0,0,0,0,5129,0,0,0,0,354,5,110,239,6559,1005,332,2476,691,175,222,915,234,373,136,1,1,1,1
2021,29496,4,2021,2,230.86,3,2.65,2,,,,1,1,2,1,1,1,0,24,6,3,2,1,0,0,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,2,0,0,2,1,,2,1,0,0,1,2,1250000,3,5,5,0,0,0,0,8,27933,23724,25658,4209,8001,20081,5422,0,154,20081,0,154,0,0,0,13353,6728,0,0,0,0,154,0,0,0,0,0,0,0,0,0,1933,639,546,748,12210,2180,699,4209,982,179,361,225,1389,1789,197,1,1,1,1
2021,29497,4,2021,2,408.52,3,2.65,1,,,,,,3,2,1,1,0,24,6,3,2,0,1,1,1,1,0,0,1,1,1,3,2,4,2,2,1,2,1,1,1,0,2,1,1,2,1,0,0,1,0,1115077,2,4,4,0,0,0,0,6,17906,14515,15184,3391,5114,8698,608,1824,4054,8698,0,4054,0,0,0,8698,0,0,0,1824,0,0,4054,0,0,0,0,0,0,0,0,670,122,215,333,8505,1829,458,3391,611,105,101,969,203,672,166,2,1,1,1
2021,29498,4,2021,2,165.124,1,1.25,0,,,,,,1,,1,1,0,24,6,3,2,0,1,0,1,1,0,1,1,0,1,2,1,4,2,2,1,1,1,2,0,0,2,1,1,1,1,0,0,1,0,1400000,2,4,4,0,0,0,0,6,9773,6382,6382,3391,9861,0,0,3949,2432,0,0,2432,0,0,0,0,0,0,0,3949,0,0,2432,0,0,0,0,0,0,0,0,0,0,0,0,13252,617,631,3509,849,706,0,4044,173,2509,214,1,2,3,1
2021,29499,4,2021,2,80.533,1,1.25,0,,,,,,1,1,,1,0,62,5,3,1,1,0,0,1,1,0,0,1,0,1,3,2,4,2,2,1,1,1,2,0,0,2,1,1,1,1,0,0,,0,,,3,3,1,0,2,2,9,14350,14350,14350,0,10425,0,0,6284,8066,0,0,8066,0,0,0,0,0,0,0,6284,0,0,0,0,8066,0,0,0,0,0,0,0,0,0,0,10425,2665,675,3419,605,930,0,32,498,1264,336,2,1,3,1
2021,29500,4,2021,2,2317.079,1,1.25,1,,,,,,1,1,,1,0,62,5,3,1,0,1,1,1,1,0,1,1,0,0,1,1,3,2,2,1,1,1,2,0,0,2,1,,2,1,0,0,1,0,1000000,3,3,2,0,0,0,0,8,12547,10019,11631,2528,3811,11631,0,0,0,11026,0,0,0,0,0,11026,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,1612,778,381,453,6121,1582,441,2310,498,0,133,373,324,334,127,1,1,1,1
2021,29501,4,2021,2,229.973,3,2.65,2,,,,1,1,2,1,1,1,0,62,5,3,1,0,1,1,1,1,0,0,1,0,1,5,2,1,2,2,1,1,1,1,1,0,2,1,1,2,1,0,0,,0,,,5,5,1,0,2,2,4,12804,12804,13403,0,13665,5943,0,0,7460,5943,0,7460,0,0,0,4919,0,1024,0,0,0,154,0,0,0,0,7306,0,0,0,0,599,178,151,269,13665,1817,753,5429,2026,107,0,281,1231,1946,74,2,2,1,1
2021,29502,4,2021,2,262.083,5,3.75,3,,,1,,1,4,3,1,1,3000,11,1,1,5,1,0,0,1,1,0,1,1,1,1,2,5,2,2,2,1,2,1,2,2,1,2,1,1,2,2,0,0,1,1,2200000,2,6,6,0,0,0,0,9,49505,42784,47138,6721,20245,27073,4054,10135,5876,27073,0,3849,2027,0,0,13090,13883,99,0,10135,0,154,2027,1668,0,0,0,0,0,0,0,4354,2289,995,1071,26966,5898,1328,6721,3594,0,151,503,2363,4506,1902,3,1,1,1
2021,29503,4,2021,2,89.413,1,1.25,1,,,,,,1,1,,1,3000,11,1,1,5,0,1,0,1,1,0,0,1,0,1,1,2,1,2,2,1,2,1,2,0,0,2,1,1,1,1,0,0,,0,,,3,3,1,0,2,2,9,16391,16391,22370,0,12690,22370,0,0,0,22370,0,0,0,0,0,22370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5979,3849,1137,992,12690,694,349,3662,730,178,0,1235,184,5360,297,1,1,1,1
2021,29504,4,2021,2,391.509,1,1.25,0,,,,,,1,1,,1,3000,11,1,1,5,0,1,0,1,1,0,0,1,0,1,1,0,0,2,2,2,2,1,2,1,0,2,2,1,1,1,0,0,1,1,1559047,1,2,2,0,0,0,0,7,10536,8278,8278,2258,4884,0,0,6150,2128,0,0,2128,0,0,0,0,0,0,0,6150,0,0,2128,0,0,0,0,0,0,0,0,0,0,0,0,7142,1327,526,2258,615,51,61,339,690,522,753,1,1,3,1
