s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_3,nefashot4_5,nefashot6_11,nefashot12_15,nefashotad18,yeladim0_1,yeladim2_4,yeladim5_9,yeladim10_14,yeladim15_17,nefashot18up,men18up,women18up,religion,nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,cable_tv,digital__receiver,satellite_dish,internet,phones,cell_phones,cars,value_car,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39
2013,893,2,2013,1,449.52410889,2,2,0,,,,,,0,0,0,0,0,2,1,1,1,0,5000,51,2,,4,5,5,0,1,1,1,1,1,1,1,0,0,1,0,0,1,2,2,1,2,2,2,1,,,0,1,2,500000,3,3,3,0,0,0,0,3,7059,2652,3036,4407,6690,0,0,0,3036,0,0,3036,0,0,0,0,0,0,0,0,0,0,3036,0,0,0,0,0,0,384,0,0,384,11097,2169,850,4407,1801,798,0,344,220,506,0
2013,901,2,2013,1,383.26159668,4,3.2,4,,,,,1,0,0,0,0,1,3,1,2,1,0,5000,51,2,,4,5,5,0,1,1,1,1,0,1,1,1,1,2,1,2,3,2,2,1,2,2,1,1,2,2,132000,1,2,3399412,3,5,3,0,0,0,0,9,34854,30281,41258,4573,21426,41082,0,0,176,41082,0,176,0,0,0,12097,27730,1255,0,0,0,176,0,0,0,0,0,0,0,10977,6929,2126,1922,26000,3351,468,4641,751,281,1068,1192,1988,12071,189
2013,919,3,2013,1,168.64720154,7,4.75,1,,2,3,,5,0,0,3,2,0,2,1,1,1,0,0070,61,12,3,3,4,3,1,0,0,1,1,1,0,1,1,0,0,0,0,1,2,2,2,2,2,2,1,2,1,8500,1,2,700000,3,4,4,0,0,0,0,2,12303,9044,9545,3259,6115,6576,0,0,2969,6576,0,1147,1821,0,0,6576,0,0,0,0,0,1147,0,0,0,0,0,0,0,501,0,171,330,9374,3209,255,3259,584,106,40,321,484,1115,0
2013,927,3,2013,1,162.71749878,7,4.75,0,,,1,1,3,0,0,1,1,1,4,3,1,1,0,0070,61,12,3,3,4,3,1,0,0,1,1,1,0,1,0,1,0,0,0,1,2,2,2,2,2,2,1,2,,0,1,2,900000,2,4,4,0,0,0,0,1,9420,6066,6474,3354,2440,0,2530,0,3944,0,0,1920,2024,0,0,0,0,0,0,0,0,706,0,0,0,1214,0,0,0,408,0,102,306,5699,687,191,3259,771,24,202,304,0,262,0
2013,935,3,2013,1,164.52420044,2,2,0,,,,,,0,0,0,0,0,2,1,1,1,0,0070,61,12,3,3,4,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,2,1,2,2,2,1,,,0,2,2,,,2,2,1,0,1,2,1,4138,4138,4240,0,3105,0,0,0,4240,0,0,4240,0,0,0,0,0,0,0,0,0,0,4240,0,0,0,0,0,0,102,0,0,102,3105,329,167,111,211,1687,202,81,220,96,0
2013,943,3,2013,1,122.97989655,2,2,1,,,,,,0,0,0,0,0,2,,2,1,0,0070,61,12,3,3,4,3,1,0,0,1,1,0,0,1,0,0,2,0,1,1,2,2,1,2,2,2,1,1,,0,1,2,750000,3,3,3,0,0,0,0,6,12156,9666,10041,2490,3927,4475,0,0,5565,4475,0,1619,3946,0,0,4475,0,0,0,0,0,0,1619,0,0,0,0,0,0,375,0,80,295,6417,1155,328,2490,773,0,810,376,345,140,0
2013,950,3,2013,1,275.92318726,1,1.25,0,,,,,,0,0,0,0,0,1,1,,1,0,0070,61,12,3,3,4,3,0,1,0,0,1,0,0,0,0,1,0,0,4,0,2,2,2,2,2,1,1,1,,0,2,2,,,3,3,1,0,2,2,4,5755,5755,6382,0,4729,0,1840,3003,1538,0,0,1538,0,0,0,0,0,0,0,3003,0,0,1538,0,0,0,0,0,0,627,434,0,193,4729,486,175,1856,399,48,716,330,303,416,0
2013,968,2,2013,1,312.18389893,5,3.75,4,,,1,,1,0,0,0,1,0,4,3,1,1,0,0070,61,12,3,3,4,3,0,1,1,1,1,1,0,1,0,1,4,1,4,2,2,2,1,2,2,1,1,2,2,65000,1,2,2600000,2,5,4,0,0,0,0,5,21669,17989,19718,3680,10011,19542,0,0,176,11446,0,176,0,0,0,0,6578,4869,8095,0,0,176,0,0,0,0,0,0,0,1729,254,801,674,13691,1404,358,3680,1099,2292,456,339,1603,2099,361
2013,976,2,2013,1,271.37548828,4,3.2,2,1,1,,,2,1,0,1,0,0,2,1,1,1,0,0070,61,12,3,3,4,3,0,1,1,1,1,0,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,2,2,0,1,2,1200000,2,3,3,0,0,0,0,5,17399,14822,16896,2577,12207,16457,0,0,439,16457,0,439,0,0,0,11138,5319,0,0,0,0,439,0,0,0,0,0,0,0,2074,995,456,623,14783,1504,600,2490,1180,59,361,714,3985,3241,649
2013,984,2,2013,1,88.124298096,1,1.25,0,,,,,,0,0,0,0,0,1,,1,1,0,0070,61,12,3,3,4,3,0,1,1,1,1,0,1,1,0,1,3,1,0,2,2,2,1,2,2,2,1,1,,0,1,1,3000000,2,5,5,0,0,0,0,8,11516,6916,7342,4600,2655,0,0,4981,2361,0,0,2361,0,0,0,0,0,0,0,4981,0,0,2361,0,0,0,0,0,0,426,324,0,102,7255,48,203,4600,1067,101,525,359,231,121,0
