s_seker,MisparMB,c3,c30,c300,c300012,c300038,c300046,c300053,c300061,c300079,c300087,c300202,c300210,c300228,c300236,c300244,c300251,c300269,c300277,c300285,c300293,c300301,c300319,c300327,c300335,c300343,c300350,c300368,c300376,c300400,c300418,c300426,c300442,c300459,c300467,c300475,c300483,c300491,c300509,c300517,c300525,c300533,c301,c301010,c301028,c301036,c301044,c301051,c301069,c301077,c302,c302018,c302026,c302034,c302042,c302059,c302067,c302075,c302083,c302109,c302117,c302125,c302133,c302141,c302158,c302166,c302174,c302182,c302190,c302208,c302216,c302224,c302232,c302240,c302257,c302265,c302273,c302303,c302315,c302323,c303,c303016,c303032,c303040,c303057,c303065,c303073,c303081,c303099,c303107,c303115,c304,c304014,c304022,c304030,c304048,c304105,c304113,c304121,c304139,c304147,c304154,c304162,c304170,c304188,c304204,c304212,c304220,c304303,c304311,c305,c305011,c305037,c305045,c305052,c305060,c305078,c305086,c305094,c305102,c305110,c305128,c305136,c305193,c306,c306019,c306027,c306035,c306043,c306050,c306068,c306076,c307,c307017,c307025,c307033,c307041,c307058,c308,c308015,c308023,c308031,c308049,c308064,c308080,c309,c309013,c309021,c309039,c309047,c309054,c309062,c309070,c309088,c309096,c309104,c309120,c309138,c309153,c309179,c309187,c309203,c309211,c309229,c309237,c309245,c309252,c309278,c309286,c309294,c309302,c309310,c309336,c309344,c309351,c309369,c309997
2015,40030,16134,3102,141,0,0,35,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,1097,506,0,0,0,0,0,0,0,0,0,0,0,58,466,30,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,43,0,0,0,173,0,0,0,0,0,0,0,0,76,0,0,76,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0
2015,40048,11123,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,108,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548,0,0,0,0,0,0,0,0,320
2015,40055,13057,4007,500,0,0,32,0,13,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,24,0,273,0,0,0,0,0,0,0,0,0,0,0,168,51,84,32,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,26,0,0,0,34,69,0,0,0,28,0,0,0,0,200,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,39,0,49,0,0,0,0,1626,174,0,25,1192,235,979,0,973,6,0,0,0,200,0,27,56,0,0,0,0,0,0,0,0,24,21,0,0,0,0,0,0,0,29,43,0,0,0,0,0,0,0,0,0
2015,40063,10234,1934,256,27,15,69,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,21,0,0,0,27,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,108,0,108,0,75,0,0,0,0,0,0,21,0,0,0,0,0,0,0,28,302,0,302,0,0,0,0,0,0,0,0,802,47,0,0,0,0,7,24,24,0,0,0,44,65,529,0,37,27,0,22,0,0,0,0,0,22,0,0,0,0,0,0,0,79,24,0,14,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,20,0,0,0,0,30,0,0,0,0,51,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
2015,40071,6965,857,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,73,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,145,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2015,40089,12677,1909,149,0,0,19,0,0,20,0,30,0,0,19,0,0,0,0,0,21,0,0,0,22,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,32,13,0,0,0,19,0,0,810,211,163,0,0,0,0,0,0,0,0,0,169,0,245,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,142,0,28,0,0,0,0,150,0,281,39,0,0,0,0,0,0,6,0,0,0,30,0,0,0,0,205,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,281,24,0,158,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,40097,22797,2338,420,0,0,0,25,6,37,0,11,0,0,0,0,0,0,0,0,0,51,43,42,140,0,0,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,77,13,0,0,23,0,41,0,352,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,453,70,0,0,21,0,0,38,10,107,0,0,49,0,0,50,0,108,0,266,32,0,0,0,0,199,0,0,35,0,0,0,0,199,0,0,63,136,0,0,0,0,0,0,0,0,0,458,0,166,82,0,0,209,113,0,0,0,0,0,0,0,17,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,26,0,0
2015,40105,6582,942,250,0,0,0,54,0,0,0,22,0,0,0,0,0,0,0,0,0,22,75,34,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,213,308,58,0,0,0,8,0,21,0,0,0,0,23,0,0,78,0,119,0,37,22,0,0,0,0,16,0,0,0,0,0,0,0,91,19,21,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,40113,22393,3550,343,32,38,0,0,22,64,0,0,17,0,0,0,0,0,0,21,0,43,0,0,0,0,17,12,0,0,0,0,64,0,0,0,0,0,12,0,0,0,15,0,0,0,0,0,0,15,415,0,0,0,0,0,0,0,0,64,0,0,226,0,78,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,216,0,0,0,0,104,48,0,0,79,0,66,35,0,92,38,52,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904,188,1293,0,0,0,423,133,0,0,129,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,40121,7450,665,231,0,0,81,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,43,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,69,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,15,32,0,0,0,0,0,0,0,0,268,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
