s_seker,MisparMB,c3,c30,c300,c300012,c300038,c300046,c300053,c300061,c300079,c300087,c300202,c300210,c300228,c300236,c300244,c300251,c300269,c300277,c300285,c300293,c300301,c300319,c300327,c300335,c300343,c300350,c300368,c300376,c300400,c300418,c300426,c300442,c300459,c300467,c300475,c300483,c300491,c300509,c300517,c300525,c300533,c301,c301010,c301028,c301036,c301044,c301051,c301069,c301077,c302,c302018,c302026,c302034,c302042,c302059,c302067,c302075,c302083,c302109,c302117,c302125,c302133,c302141,c302158,c302166,c302174,c302182,c302190,c302208,c302216,c302224,c302232,c302240,c302257,c302265,c302273,c302303,c302315,c302323,c303,c303016,c303032,c303040,c303057,c303065,c303073,c303081,c303099,c303107,c303115,c304,c304014,c304022,c304030,c304048,c304105,c304113,c304121,c304139,c304147,c304154,c304162,c304170,c304188,c304204,c304212,c304220,c304303,c304311,c305,c305011,c305037,c305045,c305052,c305060,c305078,c305086,c305094,c305102,c305110,c305128,c305136,c305193,c306,c306019,c306027,c306035,c306043,c306050,c306068,c306076,c307,c307017,c307025,c307033,c307041,c307058,c308,c308015,c308023,c308031,c308049,c308064,c308098,c309,c309013,c309021,c309039,c309047,c309054,c309062,c309070,c309088,c309096,c309104,c309120,c309138,c309153,c309179,c309187,c309203,c309211,c309229,c309237,c309245,c309252,c309278,c309286,c309294,c309302,c309310,c309336,c309344,c309351,c309369,c309377,c309997
2018,75,34674,4389,1423,0,0,138,53,265,69,0,0,0,0,0,0,0,0,0,0,0,0,220,129,63,0,72,0,204,0,0,19,70,0,0,0,0,69,52,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,332,0,0,0,0,0,0,0,0,826,237,0,0,44,0,74,131,0,0,0,0,242,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,0,685,672,0,0,0,429,0,0,0,0,0,0,88,0,0,79,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,83,25718,1238,318,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,109,0,0,0,0,0,0,320,34,0,0,0,0,198,0,0,0,0,0,20,0,0,0,68,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,70,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0
2018,91,37084,2578,176,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,39,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1722,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,439,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,109,23439,2507,632,26,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,92,0,0,0,0,0,0,0,52,0,0,0,0,109,0,29,0,0,26,0,0,0,0,0,0,0,0,483,0,0,307,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,48,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,19,0,33,52,0,0,83,0,105,0,0,0,105,0,0,0,0,0,0,0,0,0,478,0,206,184,88,0,0,553,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0
2018,117,29084,4037,1165,0,26,57,48,90,0,0,32,0,0,0,0,0,0,0,48,0,0,204,126,139,45,101,62,0,0,0,0,0,0,0,74,0,0,61,40,0,13,0,0,0,0,0,0,0,0,783,0,0,0,0,0,0,0,0,0,0,0,168,0,349,0,207,58,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,173,753,126,0,0,113,0,0,61,0,52,44,0,144,36,0,0,26,151,0,363,34,0,0,0,0,43,0,74,212,0,0,0,0,228,48,0,121,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,65,0,24,196,0,0,133,0,29,0,0,0,0,0,0,0,0,26,0,0,74,0,0,0,0,0,0,0,26
2018,125,28811,5289,599,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,69,0,259,0,0,0,0,53,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,439,0,0,0,0,0,0,0,343,0,0,363,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,57,0,0,154,0,0,0,118,36,0,0,351,0,351,0,0,0,2414,0,1305,126,31,184,768,261,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,18,28192,4455,1116,0,0,0,0,503,53,0,0,0,0,0,0,0,0,0,0,0,348,65,65,44,0,22,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,87,0,0,0,0,0,0,243,50,0,0,0,0,0,67,0,0,0,0,52,0,0,0,74,0,0,364,0,0,88,0,0,0,0,57,219,0,0,0,0,146,57,0,0,89,0,0,0,0,0,0,0,0,0,2089,0,0,1255,395,0,439,248,0,0,0,0,9,0,131,0,0,57,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26,26525,3499,413,0,0,0,0,0,0,0,48,0,0,47,0,0,0,0,0,0,0,0,0,51,61,0,0,57,0,0,0,0,0,0,148,0,0,0,0,0,0,109,0,0,65,0,43,0,0,696,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,123,0,0,0,0,263,889,35,0,35,0,0,255,21,0,0,266,0,0,105,0,0,72,100,0,57,0,0,0,0,0,0,0,57,0,0,0,0,0,105,0,0,0,48,57,0,0,0,0,0,0,0,0,348,0,0,0,0,0,348,496,0,0,0,0,0,0,427,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,133,21471,2971,438,0,0,20,44,0,52,0,0,0,0,0,0,0,0,87,0,0,0,113,0,0,78,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,183,0,131,0,0,52,0,0,290,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,61,0,0,0,0,101,53,0,0,192,0,38,42,0,0,0,96,0,92,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,334,0,0,0,0,1052,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,219,0,0,0,0,0,0,0,0
2018,141,12502,2238,75,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,1097,658,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,429,0,0,0,0,0,0,0,0,0,0,0,329,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0
