s_seker,MisparMB,c3,c30,c300,c300012,c300038,c300046,c300053,c300061,c300079,c300087,c300202,c300210,c300228,c300236,c300244,c300251,c300269,c300277,c300285,c300293,c300301,c300319,c300327,c300335,c300343,c300350,c300368,c300376,c300400,c300418,c300426,c300442,c300459,c300467,c300475,c300483,c300491,c300509,c300517,c300525,c300533,c301,c301010,c301028,c301036,c301044,c301051,c301069,c301077,c302,c302018,c302026,c302034,c302042,c302059,c302067,c302075,c302083,c302109,c302117,c302125,c302133,c302141,c302158,c302166,c302174,c302182,c302190,c302208,c302216,c302224,c302232,c302240,c302257,c302265,c302273,c302303,c302315,c302323,c303,c303016,c303032,c303040,c303057,c303065,c303073,c303081,c303099,c303107,c303115,c304,c304014,c304022,c304030,c304048,c304105,c304113,c304121,c304139,c304147,c304154,c304162,c304170,c304188,c304204,c304212,c304220,c304303,c304311,c305,c305011,c305037,c305045,c305052,c305060,c305078,c305086,c305094,c305102,c305110,c305128,c305136,c305193,c306,c306019,c306027,c306035,c306043,c306050,c306068,c306076,c307,c307017,c307025,c307033,c307041,c307058,c308,c308015,c308023,c308031,c308049,c308064,c308080,c309,c309013,c309021,c309039,c309047,c309054,c309062,c309070,c309088,c309096,c309104,c309120,c309138,c309153,c309179,c309187,c309203,c309211,c309229,c309237,c309245,c309252,c309278,c309286,c309294,c309302,c309310,c309336,c309344,c309351,c309369,c309997
2014,18,11078,1452,268,0,0,0,0,0,0,0,0,0,17,0,119,0,0,0,0,0,0,0,0,37,22,0,0,0,0,0,0,0,0,0,0,0,28,45,0,0,0,50,0,0,0,24,0,26,0,700,0,0,0,0,0,0,0,0,0,0,0,282,0,358,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,27,0,0,0,0,0,0,0,0,0,0,0,79,0,0,26,49,0,69,4,0,0,0,0,0,0,65,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,76,69,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,26,9520,1584,312,0,0,31,47,0,0,0,0,0,0,0,57,0,0,19,0,0,0,63,11,0,0,0,0,0,0,0,28,0,0,0,0,0,0,55,0,0,0,53,0,0,0,0,0,0,53,657,0,149,0,0,145,0,0,0,0,0,0,0,0,114,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,67,0,0,0,67,0,0,0,0,0,0,328,35,0,0,0,31,0,0,21,0,104,0,0,0,83,0,0,55,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,35,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,31,86,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,34,10032,1200,292,0,17,0,26,16,22,0,0,0,0,0,0,0,0,0,0,0,0,66,0,93,0,17,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,52,0,0,0,0,0,52,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,44,70,0,0,0,70,0,0,0,0,0,0,432,0,0,0,0,18,13,128,10,0,50,0,109,0,0,0,52,51,0,35,0,0,0,0,0,0,0,35,0,0,0,0,0,90,0,0,0,22,36,33,0,0,0,0,0,0,0,131,0,0,0,0,0,131,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,42,2729,907,98,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,40,263,0,98,0,26,0,14,0,0,0,124,197,28,0,0,0,10,39,0,20,0,16,0,41,0,0,0,28,15,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
2014,59,11023,824,237,0,15,22,26,45,22,0,0,0,0,0,0,0,0,0,0,0,0,27,59,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,103,0,0,0,0,0,0,0,0,184,46,0,0,48,0,0,0,11,0,0,0,66,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,61,45,83,26,0,0,61,0,61,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,67,12040,2682,734,0,0,80,20,88,25,0,0,0,0,0,0,0,20,0,0,0,246,0,0,52,0,0,0,49,47,0,28,0,0,0,0,79,0,0,0,0,0,18,0,0,0,0,0,0,18,195,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,56,0,0,0,9,147,353,21,18,92,41,30,0,0,39,0,82,0,81,17,0,0,0,0,7,0,33,24,0,0,0,0,104,0,0,0,0,104,0,0,0,0,0,0,0,0,164,0,70,0,94,0,0,500,176,0,41,0,4,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,44,0,0,0,0,0,0,168
2014,75,20677,2620,657,45,0,90,0,0,0,0,0,0,0,0,22,0,0,0,0,0,153,111,12,36,31,0,0,26,0,0,0,46,0,0,0,0,0,0,87,0,0,70,0,0,0,22,0,48,0,402,299,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,0,655,0,0,0,0,0,0,0,0,467,120,0,0,37,0,0,72,0,0,48,26,70,55,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,48,0,31,85,52,0,0,0,0,0,0,0,0,153,0,0,142,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,83,5646,754,39,22,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,269,0,0,0,0,0,0,0,0,102,23,0,0,0,0,0,0,15,0,0,0,34,0,0,0,0,30,0,282,0,0,0,111,100,0,0,33,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,91,16599,2101,286,0,32,51,24,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,63,22,0,0,0,37,0,27,11,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,243,0,0,0,0,0,0,0,0,0,0,0,128,0,85,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,116,0,0,0,0,59,225,0,14,109,0,11,112,0,0,0,85,0,136,17,0,0,0,0,0,30,50,39,0,0,0,0,289,0,0,151,107,31,0,0,196,0,0,196,0,0,0,0,0,0,0,0,0,201,0,0,70,21,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,11,0,0
2014,109,15390,1156,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,0,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,677,0,0,65,0,0,612,204,59,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
