s_seker,MisparMB,c3,c30,c300,c300012,c300038,c300046,c300053,c300061,c300079,c300087,c300095,c300202,c300210,c300228,c300236,c300244,c300269,c300277,c300285,c300293,c300301,c300319,c300327,c300335,c300343,c300350,c300368,c300376,c300400,c300418,c300426,c300442,c300475,c300483,c300491,c300509,c300517,c300525,c300533,c300541,c300566,c300574,c300582,c300608,c300624,c300632,c300640,c300657,c300673,c300681,c301,c301010,c301028,c301036,c301044,c301051,c301069,c301077,c301085,c301093,c302,c302018,c302034,c302059,c302075,c302083,c302109,c302133,c302141,c302158,c302166,c302174,c302182,c302208,c302224,c302323,c303,c303032,c303040,c303057,c303065,c303073,c303099,c303107,c304,c304014,c304030,c304048,c304105,c304113,c304121,c304139,c304147,c304154,c304162,c304170,c304188,c304204,c304212,c304220,c304303,c304311,c304320,c305,c305011,c305037,c305045,c305052,c305078,c305086,c305094,c305102,c305110,c305128,c305136,c305144,c305151,c306,c306019,c306027,c306035,c306043,c306050,c306068,c306084,c307,c307017,c307025,c307041,c308,c308015,c308023,c308031,c308049,c308064,c308098,c309,c309013,c309021,c309039,c309047,c309054,c309062,c309070,c309088,c309096,c309104,c309120,c309138,c309153,c309203,c309211,c309237,c309245,c309252,c309260,c309278,c309286,c309294,c309302,c309310,c309328,c309336,c309344,c309351,c309369,c309377,c309393,c309419,c309427,c309997
2021,33557,730,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,47,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,33558,31600,414,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,99,0,85,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,33559,14946,1842,488,0,0,68,0,59,0,0,0,0,0,0,0,0,0,0,0,0,34,64,0,0,0,0,0,0,0,41,0,59,86,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,167,0,120,0,0,0,0,47,0,0,153,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,242,242,0,0,0,0,0,0,342,51,0,0,0,53,127,0,0,0,0,0,0,0,85,24,0,0,0,193,0,0,64,0,43,0,86,0,0,0,0,0,0,94,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,33560,16317,6434,1395,0,0,64,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,232,0,0,461,150,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1123,0,0,0,0,0,316,0,0,0,275,0,124,0,171,0,0,0,0,0,0,0,0,2316,24,0,0,0,1248,627,0,0,77,148,0,0,0,0,24,166,0,0,135,0,0,0,0,0,0,53,81,0,0,0,0,0,138,0,0,26,43,68,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,34,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
2021,33561,18660,2755,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,264,0,0,0,0,0,0,0,0,0,0,0,128,0,0,1081,0,0,0,0,0,1081,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,190,0,0,0,0,0,0,69,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,168,0,0,0,0,12,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,33562,33021,8214,487,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,214,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,43,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,90,90,0,0,0,0,0,0,1086,115,59,48,0,97,363,0,0,189,0,40,53,0,0,23,94,0,0,425,0,141,0,0,64,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3838,0,0,3838,2125,0,1091,297,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,33563,7846,592,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,32,0,0,0,49,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,46,0,0,0,0,0,0,86,0,0,0,86,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,33564,14114,2465,348,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,77,107,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,50,0,0,67,0,29,35,0,188,0,0,122,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,0,1123,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,51,0,0,0,0,0,373
2021,33565,22607,5259,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,64,0,0,0,0,0,42,0,0,0,0,42,0,0,0,0,2092,998,186,0,0,0,0,319,0,229,0,0,0,56,301,0,102,0,0,102,0,0,0,0,398,0,0,0,0,0,35,0,0,74,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,43,0,153,85,0,0,929,430,0,499,1162,0,0,1162,0,0,0,93,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,33566,30430,4813,296,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,68,0,0,1087,240,188,0,0,658,0,0,0,0,0,0,0,0,0,0,1220,0,0,0,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,94,0,0,0,0,0,1436,0,470,810,0,0,155,610,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,410,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021,33567,38057,7458,1455,0,0,0,0,432,0,0,0,0,51,0,0,0,0,94,102,38,0,129,0,140,0,0,0,0,0,194,47,0,0,0,77,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,142,0,0,2005,448,0,0,0,263,0,224,0,0,0,0,0,526,0,542,487,0,0,373,0,0,0,113,1508,77,0,0,127,321,274,55,0,320,0,0,172,0,4,42,112,0,0,207,0,0,0,0,0,0,207,0,0,0,0,0,0,223,0,0,223,0,0,0,0,38,0,38,0,1189,194,800,0,194,0,0,200,0,0,0,0,0,25,64,12,0,68,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
