s_seker,MisparMB,c3,c30,c300,c300012,c300038,c300046,c300053,c300061,c300079,c300087,c300202,c300210,c300228,c300236,c300244,c300301,c300319,c300327,c300335,c300343,c300400,c300418,c300426,c300442,c300459,c300467,c300475,c300483,c300491,c300509,c300517,c301,c301010,c301028,c301036,c301044,c301051,c301069,c302,c302018,c302026,c302034,c302042,c302059,c302067,c302075,c302083,c302109,c302117,c302125,c302133,c302141,c302158,c302166,c302174,c302182,c302190,c302208,c302216,c302224,c302232,c302240,c302257,c302265,c302273,c302303,c302315,c302323,c303,c303016,c303032,c303040,c303057,c303065,c303073,c303081,c303099,c303107,c303115,c304,c304014,c304022,c304030,c304048,c304105,c304113,c304121,c304139,c304147,c304154,c304162,c304170,c304188,c304204,c304212,c304303,c304311,c305,c305011,c305037,c305045,c305052,c305060,c305078,c305086,c305094,c305102,c305110,c305128,c305136,c305193,c306,c306019,c306027,c306035,c306043,c306050,c306068,c306076,c307,c307017,c307025,c307033,c307041,c307058,c308,c308015,c308023,c308031,c308049,c308064,c308080,c309,c309013,c309021,c309039,c309047,c309054,c309062,c309070,c309088,c309096,c309104,c309120,c309138,c309153,c309179,c309187,c309203,c309211,c309229,c309237,c309245,c309252,c309278,c309286,c309294,c309310,c309336,c309344,c309351,c309997,c317115
2012,79343,11898,2203,830,0,0,0,43,43,52,0,30,0,0,30,0,43,93,133,58,47,64,0,34,108,0,0,0,0,30,22,0,75,0,75,0,0,0,0,570,0,60,0,0,0,0,0,0,0,0,0,141,0,155,0,0,74,0,0,0,0,0,0,0,0,141,0,0,0,99,0,0,0,99,0,0,0,0,0,0,313,14,0,0,0,0,26,83,0,55,0,0,108,28,0,0,0,0,104,18,0,0,0,0,0,0,86,0,0,0,0,0,104,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
2012,79350,5992,746,154,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,30,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,108,0,0,0,0,0,54,0,0,0,0,71,0,0,0,26,0,40,9,0,0,0,0,0,0,32,0,0,0,0,0,126,22,0,33,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,63,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,79368,6065,864,52,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,79376,2389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,79384,35238,2167,493,0,0,0,0,35,24,0,0,0,24,0,39,0,121,0,0,0,43,0,0,145,0,0,43,0,19,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,98,147,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,0,607,258,165,0,10,186,0,0,76,50,0,0,0,21,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,79392,15560,2503,318,0,14,86,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,18,43,0,0,0,53,0,0,0,0,20,0,0,0,0,20,0,462,0,81,0,0,42,0,0,0,0,0,90,0,0,0,47,0,0,0,202,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,22,0,0,0,77,0,503,0,0,31,0,35,23,0,27,39,60,0,118,0,0,55,0,115,265,0,0,101,30,0,53,0,53,28,0,0,0,0,121,0,0,74,0,48,0,0,134,134,0,0,0,0,251,0,251,0,0,0,0,330,0,0,65,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,61,0,130,0,0,0,0,26,26,0,0
2012,79400,31366,2040,355,0,0,34,0,0,0,0,0,0,0,0,0,87,111,0,0,0,0,0,0,96,0,0,0,0,27,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,16,0,0,0,0,0,0,0,0,0,0,39,42,0,0,0,0,188,0,0,0,0,0,15,63,110,0,0,0,0,0,120,0,0,83,0,37,0,0,0,0,0,0,0,0,908,0,833,76,0,0,0,341,50,0,86,0,0,0,0,0,0,87,0,11,42,0,26,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
2012,79418,87633,5770,52,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,50,0,0,19,0,0,0,0,342,0,0,0,0,0,0,0,0,0,268,0,13,61,0,0,0,0,139,0,105,0,0,0,0,0,34,0,0,0,0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,0,4916,0,3971,945,0,0,0,187,0,0,14,0,0,0,45,0,0,0,0,0,91,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,79426,8888,1681,135,0,0,16,0,0,0,0,0,0,0,0,0,0,88,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,52,34,0,0,0,0,38,0,0,27,0,11,0,0,162,162,0,0,0,0,903,0,571,331,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,79434,6487,483,47,0,14,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,66,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,47,0,15,0,0,0,0,0,42,0,0,0,22,0,0,0,0,0,19,0,0,0,65,0,0,13,0,52,0,0,0,0,0,0,0,0,141,0,76,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
