s_seker,MisparMB,c3,c30,c300,c300012,c300038,c300046,c300053,c300061,c300079,c300087,c300202,c300210,c300228,c300236,c300244,c300251,c300269,c300277,c300285,c300293,c300301,c300319,c300327,c300335,c300343,c300350,c300368,c300376,c300400,c300418,c300426,c300442,c300459,c300467,c300475,c300483,c300491,c300509,c300517,c300525,c300533,c301,c301010,c301028,c301036,c301044,c301051,c301069,c301077,c302,c302018,c302026,c302034,c302042,c302059,c302067,c302075,c302083,c302109,c302117,c302125,c302133,c302141,c302158,c302166,c302174,c302182,c302190,c302208,c302216,c302224,c302232,c302240,c302257,c302265,c302273,c302303,c302315,c302323,c303,c303016,c303032,c303040,c303057,c303065,c303073,c303081,c303099,c303107,c303115,c304,c304014,c304022,c304030,c304048,c304105,c304113,c304121,c304139,c304147,c304154,c304162,c304170,c304188,c304204,c304212,c304220,c304303,c304311,c305,c305011,c305037,c305045,c305052,c305060,c305078,c305086,c305094,c305102,c305110,c305128,c305136,c305193,c306,c306019,c306027,c306035,c306043,c306050,c306068,c306076,c307,c307017,c307025,c307033,c307041,c307058,c308,c308015,c308023,c308031,c308049,c308064,c308080,c309,c309013,c309021,c309039,c309047,c309054,c309062,c309070,c309088,c309096,c309104,c309120,c309138,c309153,c309179,c309187,c309203,c309211,c309229,c309237,c309245,c309252,c309278,c309286,c309294,c309302,c309310,c309336,c309344,c309351,c309369,c309377,c309997
2016,34421,14488,2510,439,0,25,0,78,0,0,0,0,0,0,38,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,86,0,0,0,0,0,58,0,0,24,83,0,0,0,49,0,0,34,1074,0,0,0,0,0,0,0,0,0,0,0,473,0,233,0,0,0,0,89,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,144,0,0,0,0,0,58,0,0,48,73,40,0,0,0,78,156,0,69,0,0,69,0,0,0,0,0,0,0,0,0,0,104,0,0,52,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,64,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,34439,37068,4358,1039,0,0,0,73,0,73,0,0,95,82,0,0,0,0,0,0,86,0,0,0,0,0,38,0,0,0,0,98,0,0,0,198,91,0,205,0,0,0,65,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,32,0,0,0,0,0,0,819,100,0,32,0,0,0,80,0,0,152,0,203,107,0,0,95,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,60,270,0,0,0,0,0,0,0,0,1467,151,695,194,427,0,0,606,0,0,0,0,0,0,22,116,0,77,0,0,43,194,0,0,0,0,60,0,0,0,0,0,0,0,0,0,94,0,0,0
2016,34447,13108,574,307,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,34454,21265,1576,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,165,0,0,0,0,0,0,0,243,0,0,0,0,161,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,183,0,0,0,179,0,220,25,0,0,0,0,0,0,0,0,116,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,34462,7108,2253,692,0,15,0,30,56,0,0,26,0,0,0,0,0,0,0,0,13,86,181,0,79,0,0,138,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,144,0,0,132,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,0,0,0,0,0,0,0,311,33,0,0,74,0,0,13,38,0,0,0,40,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,176,220,75,0,0,130,0,0,0,130,0,0,0,0,0,0,0,0,211,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0
2016,34470,8478,558,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,63,0,0,0,0,0,0,42,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,19,0,0,0,0,0,0,0,0,19,0,0,0,0,64,0,0,0,43,20,0,0,51,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,34488,5450,379,207,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,30,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,47,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,34496,28904,4626,925,25,0,0,0,38,0,0,0,0,78,0,0,0,0,0,42,0,0,66,73,0,0,0,0,0,0,0,123,437,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,47,0,0,86,0,6,125,0,0,0,0,296,43,0,215,47,0,0,123,0,0,0,0,0,0,0,123,0,0,0,0,0,304,0,0,86,111,22,85,0,0,0,0,0,0,0,1796,0,734,0,436,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,34504,9983,172,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,38,0,45,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,34512,33834,8022,454,0,0,357,21,11,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,155,0,0,0,0,0,239,829,115,34,0,0,0,54,0,0,0,210,0,211,0,0,0,155,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3212,194,2495,0,324,0,199,3039,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,125,0,0,104,0,0,0,0,0,0,0,0,0,0,0,2724
2016,34520,18838,2731,129,0,0,0,0,0,0,0,43,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,151,0,0,0,0,26,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,172,52,0,0,0,0,0,52,0,0,0,0,287,37,0,0,0,16,56,0,0,43,0,0,84,0,0,0,50,0,0,56,35,0,0,0,0,0,0,21,0,0,0,0,0,155,0,0,0,155,0,0,0,0,0,0,0,0,0,1238,0,260,684,294,0,0,349,0,0,216,0,0,0,43,0,0,0,0,22,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,34,0,0,0
2016,34538,5934,956,254,43,49,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,35,65,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,132,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,34546,3983,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,34553,8788,1133,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,74,0,0,0,0,107,0,0,0,68,39,0,0,0,0,0,0,0,0,918,0,866,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
